InvoiceNo,ProdID,CustomerID
4304,B07X5SHN81,713-09-1506
1556,B07X5VF1FM,724-08-1763
8583,B07XF928ZP,848-68-4181
5258,B07XJ5RSX3,678-82-2526
2595,B07XQJ33PL,313-33-3281
4285,B07XVMYN2N,698-57-7040
3064,B07XVNDQMR,348-49-7778
5677,B07XVS6NQH,410-47-4113
4609,B07XVZXR5Y,831-29-9719
1592,B07XW28MHX,549-22-0926
1637,B07XWVPRWZ,176-32-6604
4619,B07XZJG7V9,315-84-9777
5432,B07XZMGC3J,625-05-6786
2060,B07Y336C8S,434-61-1702
8383,B07Y4YJ98Z,109-52-1407
8154,B07Y8Q17N9,849-85-8069
6718,B07Y8XK9GC,431-22-8110
3882,B07Y8YWTFL,726-01-9201
5536,B07YBHNTSK,475-87-5678
4840,B07YBVZ2PW,147-26-6041
1205,B07YF4PB4R,313-79-8660
8558,B07YJHXZT6,311-76-8308
5616,B07YMNLXL3,165-17-5137
5993,B07YN4TPDW,545-44-6749
2704,B07YQ58NPF,110-13-7595
3701,B07YSSGS7C,263-21-9559
2052,B07YVGVQKL,298-14-9267
6558,B07YVH6QRT,457-77-1330
3455,B07YZLRS3Z,876-16-2787
6961,B07YZS1PBD,817-43-7655
7824,B07YZS6QT3,273-14-7231
6432,B07Z3XZDT5,256-60-1041
4718,B07Z41LHPB,385-72-7910
2435,B07Z8BL2VW,555-39-3409
5625,B07ZDJ6V5S,546-59-0691
5694,B07ZDJCL76,164-80-8678
3124,B07ZG6W4S2,789-81-3376
6409,B07ZGHYFZ4,323-03-9240
3598,B07ZHPCJW3,185-85-2345
9546,B07ZP9ZWFM,573-22-6549
4868,B07ZPJBN55,891-89-0556
8627,B07ZPKBL9V,894-82-1878
3908,B07ZPKZSSC,108-43-3176
2941,B07ZQSGP53,808-77-5838
7632,B081H6STQQ,161-53-9771
5433,B081TJFVCJ,897-01-5654
7384,B0825BB7SG,802-04-3753
5639,82567,880-85-6593
1117,22946,843-30-9370
7502,85087,848-51-5278
9896,21789,506-40-5147
1243,22195,766-37-7476
3379,22179,665-21-5499
4921,22965,132-10-2946
6032,22626,885-48-4859
7840,23241,420-61-1208
8511,21122,407-98-4448
8608,22812,455-01-8503
6083,22866,630-84-1886
7346,85032A,397-22-7343
4346,84929,828-70-1838
8488,23083,876-53-0598
4530,21471,178-38-4848
1232,22982,403-58-3236
6706,72741,327-35-1745
9333,21473,453-97-7767
6658,22617,837-20-6081
2407,82582,638-61-2670
9740,22562,778-25-5244
4903,23546,898-58-2224
5667,23254,388-36-9149
4639,22060,708-33-4014
2524,23510,675-34-3520
6082,23223,192-37-7603
8576,71459,814-82-9027
9290,23478,794-91-7301
9122,21945,227-88-6557
7336,22696,347-71-7484
2615,23344,452-39-8359
3404,85172,497-96-5153
6818,21114,396-10-6852
6010,22169,573-41-2556
3096,22470,628-58-3153
6010,22326,673-82-0535
3598,21558,324-81-7261
9055,35923,481-92-9819
9387,23355,671-49-8074
9838,23237,311-72-3390
1753,20724,121-97-1579
7767,22393,673-41-5361
9843,21232,547-68-8122
2199,22952,382-57-3773
5522,22754,478-45-3592
1159,48187,312-24-9100
2662,21623,269-88-3076
5816,22947,852-68-9525
1604,22969,542-80-6085
2290,84988,540-01-1102
5638,10125,634-24-2449
5839,20758,515-85-4019
8063,23007,669-34-5733
9633,22798,421-59-5510
1808,22487,746-35-8155
2699,22600,515-89-9313
6389,23053,367-69-0207
1803,23210,519-94-7385
8707,21931,351-19-7170
5245,23188,539-55-4846
8932,22835,461-89-2577
7059,22294,764-21-8453
9098,85049E,145-37-5144
8907,22751,182-95-7993
9252,22891,306-91-5827
9090,23294,132-96-6308
3351,22994,144-67-8956
3295,84596B,569-39-9534
8962,21902,119-50-2166
3248,21121,344-10-2691
7914,22950,673-86-2541
4777,23110,760-13-0412
3645,21479,694-22-5861
3386,22300,599-08-8468
2098,20970,790-99-3981
2026,22422,215-57-9209
3027,23065,256-32-3215
8978,17136A,817-88-1583
5758,21875,864-07-3574
5400,48184,789-73-0575
1114,22964,600-97-3730
9859,22568,340-42-7669
9905,22727,716-56-4315
9753,22381,884-02-7172
9621,20713,544-16-0705
4213,23035,229-03-2504
2711,23170,263-86-9105
2993,23102,271-95-7646
8024,22274,162-24-7451
6664,22578,431-77-7503
1699,20982,148-43-3925
4444,23029,365-58-5916
1116,20981,683-21-8564
6492,21877,208-28-0969
7228,35961,281-81-4250
7549,22834,350-48-3082
6740,21916,727-74-0099
6876,22563,882-28-8183
8960,22957,660-09-3635
2910,23293,878-05-3312
8197,21914,604-80-8038
7226,21620,719-51-5566
1033,21187,710-14-4044
2289,22592,295-80-4396
2415,85150,445-49-7486
8626,23208,122-47-8303
1719,23076,649-82-8657
2664,22579,850-35-7495
5132,23085,557-10-9728
8600,22191,740-59-8646
9486,23168,550-29-8798
6550,22795,352-38-1409
5649,85136C,701-53-9295
9618,21215,735-16-5901
6464,23253,451-37-3578
1147,72127,818-51-9856
6404,81952B,308-75-9908
3591,23194,166-55-8306
2629,21880,346-07-4930
7915,22413,640-80-9522
3526,21430,146-75-3974
5003,21281,464-46-6639
4920,21194,797-27-4970
8976,22893,480-21-8963
8229,22533,806-02-1949
7845,23379,596-34-9452
1653,22414,897-60-6662
9120,23286,364-29-2963
7346,23494,566-06-0163
7426,23340,341-60-2027
9794,22972,236-53-0581
6000,23050,526-66-6011
8928,21399,207-90-1582
9793,16161U,509-97-5942
3356,22721,879-54-3991
1615,22576,134-49-5498
4549,22473,679-95-2974
2527,21669,689-72-6071
1820,22725,294-47-1048
8632,22101,139-20-1637
2660,22900,213-60-2720
9081,23006,358-59-8922
9956,21864,563-87-8831
2325,84865,590-53-6457
6865,21014,198-56-2012
5451,22522,248-21-8273
5151,22328,257-76-2266
3745,22841,222-40-3441
3654,22845,576-23-3240
7899,22418,799-34-0453
4825,22962,853-38-8279
4942,84991,105-31-2872
7199,22840,713-09-1506
5168,22505,724-08-1763
7540,46000S,848-68-4181
2272,20669,678-82-2526
3998,22961,313-33-3281
6948,22112,698-57-7040
7059,23074,348-49-7778
9066,90087,410-47-4113
8278,22632,831-29-9719
6235,22693,549-22-0926
7384,23343,176-32-6604
3959,22173,315-84-9777
6327,22923,625-05-6786
6670,72800B,434-61-1702
6251,23583,109-52-1407
9072,21625,849-85-8069
9236,21071,431-22-8110
1645,21470,726-01-9201
2028,23211,475-87-5678
1249,22767,147-26-6041
5097,22555,313-79-8660
3483,22284,311-76-8308
1544,22775,165-17-5137
3450,20725,545-44-6749
6142,84974,110-13-7595
3548,22749,263-21-9559
5403,21828,298-14-9267
7732,21135,457-77-1330
8867,22114,876-16-2787
9578,21967,817-43-7655
8704,85078,273-14-7231
4029,21927,256-60-1041
3130,23147,385-72-7910
9546,22420,555-39-3409
2938,23465,546-59-0691
5293,22221,164-80-8678
7618,84997C,789-81-3376
9147,22595,323-03-9240
6277,23476,185-85-2345
1441,22407,573-22-6549
6479,21678,891-89-0556
4593,22746,894-82-1878
9973,47504H,108-43-3176
4776,22224,808-77-5838
3886,21704,161-53-9771
4445,22303,897-01-5654
4125,23318,802-04-3753
5608,22671,880-85-6593
8809,20886,843-30-9370
7684,22467,848-51-5278
9269,21210,506-40-5147
4185,84970S,766-37-7476
5358,23122,665-21-5499
6442,21163,132-10-2946
6574,82494L,885-48-4859
3205,23368,420-61-1208
8736,84950,407-98-4448
4304,22321,455-01-8503
5570,85048,630-84-1886
8835,48129,397-22-7343
7689,22620,828-70-1838
7361,22714,876-53-0598
8823,22906,178-38-4848
5336,22030,403-58-3236
2942,21108,327-35-1745
5354,21981,453-97-7767
8332,22863,837-20-6081
9513,22731,638-61-2670
4972,22434,778-25-5244
6859,85053,898-58-2224
7812,40003,388-36-9149
7170,21155,708-33-4014
6045,22278,675-34-3520
7741,85014B,192-37-7603
9355,22024,814-82-9027
6431,82552,794-91-7301
5977,85049G,227-88-6557
8297,23338,347-71-7484
2037,23396,452-39-8359
4023,23108,497-96-5153
9330,84820,396-10-6852
2213,22496,573-41-2556
9840,22113,628-58-3153
8794,22534,673-82-0535
7692,22668,324-81-7261
7830,17084N,481-92-9819
3060,22558,671-49-8074
4110,22652,311-72-3390
5623,23171,121-97-1579
8757,84661B,673-41-5361
7361,23092,547-68-8122
2791,22646,382-57-3773
6968,22925,478-45-3592
1223,15039,312-24-9100
7531,22633,269-88-3076
5949,21164,852-68-9525
9015,21519,542-80-6085
5437,22424,540-01-1102
3845,22824,634-24-2449
7103,22941,515-85-4019
5778,21985,669-34-5733
3859,22732,421-59-5510
4103,15060B,746-35-8155
6389,20985,515-89-9313
4713,21563,367-69-0207
4982,23525,519-94-7385
8120,23353,351-19-7170
8200,22692,539-55-4846
8114,22859,461-89-2577
4523,17038,764-21-8453
7047,21992,145-37-5144
3378,84823,182-95-7993
1373,22525,306-91-5827
7105,21162,132-96-6308
9462,22851,144-67-8956
7255,22320,569-39-9534
8886,22583,119-50-2166
4307,23054,344-10-2691
1100,22959,673-86-2541
5335,22711,760-13-0412
1917,17003,694-22-5861
4052,22426,599-08-8468
8886,22426,790-99-3981
2947,22426,215-57-9209
7960,22426,256-32-3215
3879,22279,817-88-1583
3436,84685,864-07-3574
6487,21672,789-73-0575
9105,22927,600-97-3730
9487,21993,340-42-7669
8381,23109,716-56-4315
6643,17164B,884-02-7172
2646,22554,544-16-0705
9089,21400,229-03-2504
9658,22963,263-86-9105
5906,21332,271-95-7646
6139,84050,162-24-7451
2916,84050,431-77-7503
3733,84050,148-43-3925
7364,84050,365-58-5916
7402,84050,683-21-8564
9864,84050,208-28-0969
9039,84050,281-81-4250
9776,84050,350-48-3082
5873,84050,727-74-0099
9701,84050,882-28-8183
7085,84050,660-09-3635
9635,84050,878-05-3312
5688,84050,604-80-8038
5941,84050,719-51-5566
8272,23328,710-14-4044
7809,21136,295-80-4396
6913,22494,445-49-7486
8928,21497,122-47-8303
9351,23335,649-82-8657
1100,22403,850-35-7495
6475,21930,557-10-9728
6375,22596,740-59-8646
3469,22561,550-29-8798
5341,21189,352-38-1409
4808,22917,701-53-9295
3681,84949,735-16-5901
6582,84509G,451-37-3578
4964,84279P,818-51-9856
8728,21015,308-75-9908
6059,22794,166-55-8306
8322,21633,346-07-4930
6355,84997D,640-80-9522
6092,84997D,146-75-3974
1826,84997D,464-46-6639
3774,84997D,797-27-4970
5995,84997D,480-21-8963
6192,84997D,806-02-1949
8419,84997D,596-34-9452
6254,84997D,897-60-6662
3803,84997D,364-29-2963
1178,84997D,566-06-0163
3735,21843,341-60-2027
5057,22699,236-53-0581
1400,23265,526-66-6011
7427,84997A,207-90-1582
2734,72586,509-97-5942
2699,21670,879-54-3991
3093,22904,134-49-5498
2478,85032B,679-95-2974
2074,85032B,689-72-6071
3463,85032B,294-47-1048
2468,85032B,139-20-1637
6954,85032B,213-60-2720
5404,85032B,358-59-8922
5196,84978,563-87-8831
2048,47503H,590-53-6457
5633,20983,198-56-2012
1113,21892,248-21-8273
8697,84596G,257-76-2266
2900,22405,222-40-3441
7559,22567,576-23-3240
8949,22045,799-34-0453
1028,85194L,853-38-8279
6932,22199,105-31-2872
2984,20719,713-09-1506
1827,23490,724-08-1763
6864,23490,848-68-4181
2271,23490,678-82-2526
6290,23490,313-33-3281
3499,23490,698-57-7040
9909,23490,348-49-7778
6693,23490,410-47-4113
9006,23490,831-29-9719
4873,23490,549-22-0926
3201,23490,176-32-6604
5713,84836,315-84-9777
2754,21991,625-05-6786
8897,22428,434-61-1702
1295,22064,109-52-1407
5449,23052,849-85-8069
4437,22818,431-22-8110
7014,35004B,726-01-9201
2128,23012,475-87-5678
2459,47585A,147-26-6041
2191,21448,313-79-8660
7143,72225C,311-76-8308
4101,72225C,165-17-5137
2369,72225C,545-44-6749
2671,20956,110-13-7595
5784,21564,263-21-9559
1202,21564,298-14-9267
2995,21564,457-77-1330
4723,21564,876-16-2787
9876,21564,817-43-7655
6390,21564,273-14-7231
2752,21564,256-60-1041
3250,21564,385-72-7910
3242,21564,555-39-3409
6982,21564,546-59-0691
9537,21900,164-80-8678
9249,22653,789-81-3376
8962,23320,323-03-9240
4353,22581,185-85-2345
4301,23256,573-22-6549
3649,20934,891-89-0556
6246,21507,894-82-1878
9206,85036C,108-43-3176
7803,85036C,808-77-5838
3559,85036C,161-53-9771
2349,85036C,897-01-5654
9294,85036C,802-04-3753
1158,85036C,880-85-6593
5352,85036C,843-30-9370
4426,21918,848-51-5278
3315,21891,506-40-5147
8141,85199L,766-37-7476
7509,22093,665-21-5499
1157,21198,132-10-2946
5937,23298,885-48-4859
8137,21213,420-61-1208
1978,21100,407-98-4448
7643,22233,455-01-8503
4910,22396,630-84-1886
2379,22432,397-22-7343
3996,21372,828-70-1838
2337,22325,876-53-0598
6238,23323,178-38-4848
6538,23323,403-58-3236
3575,23323,327-35-1745
1188,23323,453-97-7767
1518,23323,837-20-6081
5194,23323,638-61-2670
2449,23323,778-25-5244
8733,22277,898-58-2224
8230,84944,388-36-9149
8182,23438,708-33-4014
8825,21773,675-34-3520
4652,23470,192-37-7603
8009,85054,814-82-9027
6810,23235,794-91-7301
7457,22587,227-88-6557
9287,20735,347-71-7484
3948,22236,452-39-8359
5264,37413,497-96-5153
9916,82581,396-10-6852
2353,23284,573-41-2556
4337,23284,628-58-3153
1121,23284,673-82-0535
9263,23284,324-81-7261
5200,23284,481-92-9819
7286,23284,671-49-8074
3343,23284,311-72-3390
8277,23284,121-97-1579
8307,23284,673-41-5361
4311,23284,547-68-8122
1475,23284,382-57-3773
9764,23284,478-45-3592
5237,35598B,312-24-9100
8415,21531,269-88-3076
4249,23566,852-68-9525
5737,21239,542-80-6085
3863,21239,540-01-1102
2960,21239,634-24-2449
1021,21239,515-85-4019
1342,21239,669-34-5733
9680,21239,421-59-5510
9230,21239,746-35-8155
2578,22956,515-89-9313
5905,22722,367-69-0207
7142,21871,519-94-7385
7177,21527,351-19-7170
6492,22171,539-55-4846
6292,22796,461-89-2577
3002,23197,764-21-8453
1627,22944,145-37-5144
8960,22610,182-95-7993
1026,85014A,306-91-5827
6417,85014A,132-96-6308
8246,85014A,144-67-8956
6378,85014A,569-39-9534
7497,85014A,119-50-2166
5446,85014A,344-10-2691
9043,85014A,673-86-2541
7382,85014A,760-13-0412
3566,85014A,694-22-5861
4080,85014A,599-08-8468
7891,85014A,790-99-3981
5339,22729,215-57-9209
1448,23371,256-32-3215
7614,20796,817-88-1583
3532,84509C,864-07-3574
8251,72232,789-73-0575
3582,72232,600-97-3730
9081,72232,340-42-7669
7126,72232,716-56-4315
5033,22553,884-02-7172
5681,22553,544-16-0705
7163,22553,229-03-2504
6423,22553,263-86-9105
4023,22553,271-95-7646
1673,22553,162-24-7451
9819,23002,431-77-7503
8766,23111,148-43-3925
2433,84519A,365-58-5916
5977,23369,683-21-8564
4498,85227,208-28-0969
1325,21944,281-81-4250
5644,22170,350-48-3082
3938,22027,727-74-0099
1835,23232,882-28-8183
3832,23101,660-09-3635
1867,23695,878-05-3312
4696,22262,604-80-8038
3250,22174,719-51-5566
6969,84971S,710-14-4044
4523,84971S,295-80-4396
9891,84971S,445-49-7486
2530,84971S,122-47-8303
9894,84971S,649-82-8657
4313,84971S,850-35-7495
5069,84971S,557-10-9728
9698,22489,740-59-8646
4125,85203,550-29-8798
2626,72351A,352-38-1409
4761,62097B,701-53-9295
6199,22081,735-16-5901
8958,23191,451-37-3578
6756,22967,818-51-9856
7836,48187,308-75-9908
7085,21382,166-55-8306
4450,21382,346-07-4930
4398,21382,640-80-9522
3038,84763,146-75-3974
1833,23374,464-46-6639
2458,21528,797-27-4970
4147,22627,480-21-8963
5662,20718,806-02-1949
6346,22342,596-34-9452
8139,21624,897-60-6662
6086,22456,364-29-2963
8857,21485,566-06-0163
7528,21123,341-60-2027
4794,47480,236-53-0581
4781,47480,526-66-6011
5418,47480,207-90-1582
5314,47480,509-97-5942
4842,47480,879-54-3991
9536,47480,134-49-5498
9941,47480,679-95-2974
4775,21367,689-72-6071
4435,21668,294-47-1048
2964,21367,139-20-1637
9428,84968D,213-60-2720
